pilot_id,relative_path,category,label,image_width,image_height,region_count,union_coverage_norm,sum_box_area_norm,mean_box_area_norm,median_box_area_norm,std_box_area_norm,mean_box_width_norm,mean_box_height_norm,mean_confidence,low_confidence_fraction,center_x_mean,center_x_std,center_y_mean,center_y_std,center_x_span,center_y_span,nearest_neighbor_mean_norm,nearest_neighbor_median_norm,nearest_neighbor_std_norm,pairwise_distance_mean_norm,pairwise_distance_std_norm,row_alignment_fraction,column_alignment_fraction,angle_mean_abs_deg,angle_std_deg,rotated_fraction_gt_5deg,ocr_runtime_seconds,center_grid_4_0_0,center_grid_4_0_1,center_grid_4_0_2,center_grid_4_0_3,center_grid_4_1_0,center_grid_4_1_1,center_grid_4_1_2,center_grid_4_1_3,center_grid_4_2_0,center_grid_4_2_1,center_grid_4_2_2,center_grid_4_2_3,center_grid_4_3_0,center_grid_4_3_1,center_grid_4_3_2,center_grid_4_3_3,center_grid_8_0_0,center_grid_8_0_1,center_grid_8_0_2,center_grid_8_0_3,center_grid_8_0_4,center_grid_8_0_5,center_grid_8_0_6,center_grid_8_0_7,center_grid_8_1_0,center_grid_8_1_1,center_grid_8_1_2,center_grid_8_1_3,center_grid_8_1_4,center_grid_8_1_5,center_grid_8_1_6,center_grid_8_1_7,center_grid_8_2_0,center_grid_8_2_1,center_grid_8_2_2,center_grid_8_2_3,center_grid_8_2_4,center_grid_8_2_5,center_grid_8_2_6,center_grid_8_2_7,center_grid_8_3_0,center_grid_8_3_1,center_grid_8_3_2,center_grid_8_3_3,center_grid_8_3_4,center_grid_8_3_5,center_grid_8_3_6,center_grid_8_3_7,center_grid_8_4_0,center_grid_8_4_1,center_grid_8_4_2,center_grid_8_4_3,center_grid_8_4_4,center_grid_8_4_5,center_grid_8_4_6,center_grid_8_4_7,center_grid_8_5_0,center_grid_8_5_1,center_grid_8_5_2,center_grid_8_5_3,center_grid_8_5_4,center_grid_8_5_5,center_grid_8_5_6,center_grid_8_5_7,center_grid_8_6_0,center_grid_8_6_1,center_grid_8_6_2,center_grid_8_6_3,center_grid_8_6_4,center_grid_8_6_5,center_grid_8_6_6,center_grid_8_6_7,center_grid_8_7_0,center_grid_8_7_1,center_grid_8_7_2,center_grid_8_7_3,center_grid_8_7_4,center_grid_8_7_5,center_grid_8_7_6,center_grid_8_7_7
DVP_001_00009dcb92a2,Data/Tables/0_real/PMC3361340_table_0.jpg,Tables,0,684,278,89,0.24967657452984982,0.25043386343556734,0.002813863634107498,0.0020509907863183138,0.004123973543801912,0.05340364018660884,0.05516934766793307,0.9109757550563101,0.0,0.5254547835837782,0.2547770481569939,0.512436675361708,0.2132444505400051,0.8589181286549707,0.8309352517985611,0.06522786820884112,0.05935701932950031,0.012626677622615694,0.427883782838517,0.20048263724223808,0.067926455566905,0.10367722165474974,6.166877495008221,22.58545424002185,0.07865168539325842,1.2257677999987209,0.02247191011235955,0.033707865168539325,0.056179775280898875,0.02247191011235955,0.056179775280898875,0.0898876404494382,0.1348314606741573,0.0898876404494382,0.06741573033707865,0.06741573033707865,0.10112359550561797,0.06741573033707865,0.033707865168539325,0.0449438202247191,0.06741573033707865,0.0449438202247191,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.011235955056179775,0.011235955056179775,0.0,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.0449438202247191,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.011235955056179775,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.0449438202247191,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.0,0.033707865168539325,0.02247191011235955,0.02247191011235955,0.0449438202247191,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.0449438202247191,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0
DVP_002_00095f59a74b,Data/Receipts/1_fake/receipt_0609.png,Receipts,1,1023,1537,61,0.23476373913967047,0.23585955044388943,0.003866550007276876,0.002724582488261209,0.003038309327745659,0.1747031392721504,0.02182237059632881,0.9071179965616659,0.0,0.5294153953091509,0.20733839243432303,0.4517523966045796,0.20775973511113477,0.6612903225806452,0.909238776837996,0.03907473572108648,0.028190392747831472,0.01979881630412033,0.37586776399628413,0.18412450740423833,0.03114754098360656,0.08688524590163935,9.005466392096542,26.789264246381254,0.09836065573770492,0.19232390000070154,0.0,0.09836065573770492,0.06557377049180328,0.0,0.01639344262295082,0.11475409836065574,0.19672131147540983,0.11475409836065574,0.04918032786885246,0.08196721311475409,0.06557377049180328,0.09836065573770492,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.06557377049180328,0.03278688524590164,0.0,0.0,0.0,0.0,0.01639344262295082,0.04918032786885246,0.0,0.01639344262295082,0.04918032786885246,0.04918032786885246,0.0,0.0,0.0,0.06557377049180328,0.0,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.0,0.0,0.01639344262295082,0.04918032786885246,0.0,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.0,0.0,0.03278688524590164,0.03278688524590164,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.04918032786885246,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0
DVP_003_000cc7e882fa,Data/AcademicPosters/1_fake/academic_poster_0823.png,AcademicPosters,1,1402,1122,176,0.2533575594654573,0.2560319355339075,0.0014547269064426563,0.000839137366786943,0.0023222276666099483,0.08756160031124369,0.016098484848484848,0.8580044442056802,0.06818181818181818,0.49382551471110075,0.2632681246204128,0.5507353091273148,0.2454134635152123,0.8865905848787446,0.9523172905525846,0.02892431886863993,0.022283066879587633,0.017123898664008996,0.4596901039021134,0.22190355618152377,0.04857142857142857,0.052142857142857144,0.9493916503801262,6.916942345534331,0.017045454545454544,0.25994010000067647,0.017045454545454544,0.028409090909090908,0.005681818181818182,0.045454545454545456,0.11931818181818182,0.056818181818181816,0.13068181818181818,0.0625,0.0625,0.08522727272727272,0.08522727272727272,0.045454545454545456,0.03977272727272727,0.03977272727272727,0.13068181818181818,0.045454545454545456,0.0,0.0,0.0,0.017045454545454544,0.0,0.0,0.028409090909090908,0.0,0.005681818181818182,0.011363636363636364,0.011363636363636364,0.0,0.005681818181818182,0.0,0.017045454545454544,0.0,0.03409090909090909,0.005681818181818182,0.0,0.0,0.05113636363636364,0.045454545454545456,0.028409090909090908,0.0,0.03409090909090909,0.045454545454545456,0.022727272727272728,0.03409090909090909,0.028409090909090908,0.005681818181818182,0.028409090909090908,0.005681818181818182,0.0,0.017045454545454544,0.017045454545454544,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.028409090909090908,0.005681818181818182,0.028409090909090908,0.017045454545454544,0.03409090909090909,0.022727272727272728,0.022727272727272728,0.028409090909090908,0.011363636363636364,0.0,0.022727272727272728,0.0,0.011363636363636364,0.005681818181818182,0.028409090909090908,0.06818181818181818,0.017045454545454544,0.005681818181818182,0.005681818181818182,0.011363636363636364,0.017045454545454544,0.005681818181818182,0.017045454545454544,0.017045454545454544,0.005681818181818182,0.017045454545454544
DVP_004_000f693d4a62,Data/UIScreenshots/1_fake/ui_0844.png,UIScreenshots,1,941,1672,64,0.1437311442915084,0.14381683183419858,0.0022471379974093528,0.0016207434827044424,0.0018238531851064456,0.13529489904357067,0.017437948564593304,0.8723775774879844,0.078125,0.48466940102659384,0.26182847263435594,0.5620691360070019,0.2542505071943439,0.8134962805526036,0.954386778634899,0.061484615820464675,0.05366176464397786,0.04869674287832179,0.46980085974790936,0.22340676412388927,0.040674603174603176,0.06398809523809523,8.653019974604929,26.480397283823823,0.109375,0.15631700000085402,0.015625,0.078125,0.046875,0.015625,0.0625,0.046875,0.03125,0.03125,0.109375,0.109375,0.078125,0.125,0.03125,0.125,0.015625,0.078125,0.015625,0.0,0.0,0.015625,0.0,0.0,0.015625,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.015625,0.0,0.0,0.015625,0.015625,0.015625,0.015625,0.015625,0.0,0.015625,0.0,0.015625,0.015625,0.0,0.015625,0.0,0.015625,0.015625,0.0,0.0,0.078125,0.0,0.0625,0.078125,0.0,0.078125,0.0,0.015625,0.015625,0.046875,0.0,0.0,0.0,0.015625,0.03125,0.015625,0.0,0.0625,0.0,0.0,0.0,0.015625,0.015625,0.015625,0.0,0.03125,0.03125,0.0,0.015625,0.015625,0.03125
DVP_005_001093bb82c1,Data/CommercialPosters/1_fake/commercial_poster_0332.png,CommercialPosters,1,1448,1086,32,0.13436390321825747,0.13441986406601344,0.00420062075206292,0.0017010825880365882,0.007559921281597431,0.09515279696132597,0.030070211786372005,0.8695262008867678,0.09375,0.4803858506888244,0.21013771199010625,0.5216963040598663,0.2887224167777918,0.7707182320441989,0.9134438305709024,0.052463018137643605,0.032233562085156736,0.04372417325074847,0.4554642465231392,0.23625474285329057,0.08870967741935484,0.05040322580645161,5.761581402433242,21.82392042989379,0.0625,0.1744274000011501,0.0,0.0625,0.09375,0.0,0.03125,0.25,0.15625,0.0625,0.09375,0.0,0.0,0.0,0.03125,0.09375,0.0625,0.0625,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.09375,0.0625,0.03125,0.0,0.0,0.03125,0.0,0.0625,0.09375,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.0625,0.0,0.0625,0.0625,0.0
DVP_006_001b9f70299d,Data/UIScreenshots/1_fake/ui_0850.png,UIScreenshots,1,941,1672,43,0.09875216522854814,0.09884437811754776,0.0022987064678499478,0.0021565422105161466,0.0010772623614819304,0.12112300126041073,0.01944475353288083,0.8920134949983513,0.023255813953488372,0.5050260519472307,0.30339108798167347,0.5446647799106641,0.2790376592595384,0.89798087141339,0.9183612440191388,0.06428128674049732,0.05396261391058876,0.04796927898998815,0.5329578757230514,0.25271150138008314,0.05537098560354374,0.07087486157253599,0.6293053413782149,1.2830062913554192,0.0,0.13224040000022796,0.023255813953488372,0.09302325581395349,0.0,0.046511627906976744,0.11627906976744186,0.0,0.09302325581395349,0.023255813953488372,0.11627906976744186,0.0,0.06976744186046512,0.13953488372093023,0.09302325581395349,0.0,0.11627906976744186,0.06976744186046512,0.023255813953488372,0.0,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.023255813953488372,0.0,0.046511627906976744,0.0,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372
DVP_007_0020f18400cc,Data/UIScreenshots/0_real/3942.jpg,UIScreenshots,0,1080,1920,8,0.042338927469135805,0.0423389274691358,0.005292365933641975,0.004828317901234568,0.0037200385241409556,0.22268518518518518,0.022005208333333335,0.881824023872179,0.125,0.47384259259259254,0.29131068443545827,0.19850260416666665,0.11093121482464613,0.7847222222222223,0.3375,0.15316998837285553,0.11700922703931327,0.07080691440513748,0.4033078389682117,0.2438037553347154,0.03571428571428571,0.03571428571428571,11.432184644115763,29.835236094909824,0.125,0.12513140000010026,0.0,0.375,0.0,0.125,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP_008_002425e25739,Data/InfographicCharts/1_fake/infographic_chart_0455.png,InfographicCharts,1,1254,1254,37,0.22591816713337293,0.22814330664998,0.006166035314864324,0.004584373068382134,0.005231763948193137,0.23371697055907584,0.02754429070218544,0.8787778346924513,0.0,0.6354311523084447,0.2350225686721793,0.4570841749678669,0.2730205336356498,0.6981658692185008,0.9138755980861244,0.07042500119577826,0.05263157894736842,0.05853448195194627,0.4581479483043986,0.2384572589844909,0.03003003003003003,0.14864864864864866,0.1429951723782141,0.3805767786826352,0.0,0.23489820000031614,0.02702702702702703,0.10810810810810811,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.21621621621621623,0.02702702702702703,0.02702702702702703,0.0,0.24324324324324326,0.0,0.08108108108108109,0.02702702702702703,0.05405405405405406,0.0,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.10810810810810811,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0
DVP_009_002812010de4,Data/InfographicCharts/1_fake/infographic_chart_0373.png,InfographicCharts,1,1347,1167,57,0.1925071996610577,0.19261152874552545,0.0033791496271144816,0.0024733626854306343,0.006358508712435261,0.12489092069446073,0.024579443467280023,0.8845281155687919,0.10526315789473684,0.4620647064032968,0.29100907435252665,0.49500300129511793,0.2302355007079945,0.8930957683741647,0.9108826049700085,0.0583881903531939,0.058411952079579034,0.01734734202285339,0.47758794621973866,0.22850985666442825,0.05639097744360902,0.10714285714285714,7.221562786707577,24.066040293268195,0.08771929824561403,0.21244780000051833,0.07017543859649122,0.08771929824561403,0.0,0.017543859649122806,0.10526315789473684,0.07017543859649122,0.07017543859649122,0.10526315789473684,0.10526315789473684,0.08771929824561403,0.07017543859649122,0.10526315789473684,0.0,0.07017543859649122,0.03508771929824561,0.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.017543859649122806,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.0,0.03508771929824561,0.017543859649122806,0.0,0.0,0.017543859649122806,0.03508771929824561,0.0,0.017543859649122806,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.0,0.0,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.0,0.03508771929824561,0.05263157894736842,0.0,0.0,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.0,0.0,0.03508771929824561,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0
DVP_010_002cab38dc59,Data/AcademicPosters/1_fake/academic_poster_0393.png,AcademicPosters,1,1402,1122,209,0.21165404842378588,0.2145871317013383,0.001026732687566212,0.0006738527339349694,0.001481096056200533,0.06780129548355392,0.014639783708176615,0.8588445278535601,0.11004784688995216,0.5028080055467677,0.2667014211044947,0.6007054236266217,0.2582087258280515,0.9276034236804565,0.9518716577540106,0.02351143881687496,0.01916221033868093,0.016224574219516265,0.4737515834200377,0.22910093591634345,0.060406698564593304,0.04803091645196908,2.6453872883775023,14.192212080133201,0.0430622009569378,0.20029760000034003,0.009569377990430622,0.03349282296650718,0.03349282296650718,0.023923444976076555,0.05741626794258373,0.06220095693779904,0.04784688995215311,0.09090909090909091,0.06220095693779904,0.07177033492822966,0.06698564593301436,0.06220095693779904,0.08133971291866028,0.11961722488038277,0.09090909090909091,0.0861244019138756,0.0,0.0,0.014354066985645933,0.0,0.004784688995215311,0.014354066985645933,0.014354066985645933,0.004784688995215311,0.0,0.009569377990430622,0.014354066985645933,0.004784688995215311,0.004784688995215311,0.009569377990430622,0.004784688995215311,0.0,0.023923444976076555,0.004784688995215311,0.004784688995215311,0.023923444976076555,0.028708133971291867,0.004784688995215311,0.028708133971291867,0.028708133971291867,0.009569377990430622,0.019138755980861243,0.0,0.03349282296650718,0.009569377990430622,0.004784688995215311,0.019138755980861243,0.014354066985645933,0.019138755980861243,0.014354066985645933,0.009569377990430622,0.004784688995215311,0.014354066985645933,0.0,0.014354066985645933,0.009569377990430622,0.019138755980861243,0.009569377990430622,0.03349282296650718,0.023923444976076555,0.019138755980861243,0.03349282296650718,0.028708133971291867,0.009569377990430622,0.03827751196172249,0.0,0.023923444976076555,0.03827751196172249,0.028708133971291867,0.028708133971291867,0.03349282296650718,0.019138755980861243,0.014354066985645933,0.028708133971291867,0.03827751196172249,0.019138755980861243,0.028708133971291867,0.004784688995215311,0.03349282296650718,0.0
