scope,feature_group,feature,real_mean,fake_mean,cohen_d_fake_minus_real,absolute_cohen_d
UIScreenshots,quantity_plus_arrangement,nearest_neighbor_mean_norm,0.1125958382404479,0.07465200827234186,-1.3571376807350262,1.3571376807350262
UIScreenshots,quantity_plus_arrangement,nearest_neighbor_median_norm,0.08169334472155813,0.05658567490055515,-1.2216279464671762,1.2216279464671762
UIScreenshots,quantity_plus_arrangement,nearest_neighbor_std_norm,0.09174048887296925,0.05987166235136615,-0.9831625906531951,0.9831625906531951
UIScreenshots,quantity_plus_arrangement,pairwise_distance_mean_norm,0.4581755468041092,0.49255201627303,0.6678388765761379,0.6678388765761379
UIScreenshots,quantity_plus_arrangement,pairwise_distance_std_norm,0.2441723291991663,0.25548710324741364,0.5630233537302272,0.5630233537302272
UIScreenshots,quantity_plus_arrangement,row_alignment_fraction,0.11469175021546014,0.03698242213431811,-0.5043393044636845,0.5043393044636845
UIScreenshots,quantity_plus_arrangement,column_alignment_fraction,0.09797419382559183,0.0903812728601391,-0.15660338393868747,0.15660338393868747
UIScreenshots,quantity_plus_arrangement,angle_mean_abs_deg,4.5127487619563285,6.702885013001207,0.38684451721035334,0.38684451721035334
UIScreenshots,quantity_plus_arrangement,angle_std_deg,12.811052475737606,19.567673802517284,0.5308782662794017,0.5308782662794017
UIScreenshots,quantity_plus_arrangement,rotated_fraction_gt_5deg,0.052002164502164494,0.07804267123219391,0.4170226599743734,0.4170226599743734
UIScreenshots,quantity_plus_arrangement,center_grid_0_0,0.09854413702239787,0.08018266065865698,-0.2977196374329746,0.2977196374329746
UIScreenshots,quantity_plus_arrangement,center_grid_0_1,0.15065452663278747,0.061146852413310956,-0.9699954643553236,0.9699954643553236
UIScreenshots,quantity_plus_arrangement,center_grid_0_2,0.07461038961038959,0.0165265804597701,-1.048095122772863,1.048095122772863
UIScreenshots,quantity_plus_arrangement,center_grid_0_3,0.08983201581027664,0.039989656256335666,-1.5685691157126047,1.5685691157126047
UIScreenshots,quantity_plus_arrangement,center_grid_1_0,0.05367683041596083,0.08749100585553833,0.4843061053592179,0.4843061053592179
UIScreenshots,quantity_plus_arrangement,center_grid_1_1,0.13822181441746656,0.08733979310044097,-0.5439218405997394,0.5439218405997394
UIScreenshots,quantity_plus_arrangement,center_grid_1_2,0.03495670995670994,0.03282865034274346,-0.042696439862186464,0.042696439862186464
UIScreenshots,quantity_plus_arrangement,center_grid_1_3,0.04522727272727272,0.040975887011601105,-0.08085203338591801,0.08085203338591801
UIScreenshots,quantity_plus_arrangement,center_grid_2_0,0.04373894221720307,0.09179931977990112,0.7976201496411931,0.7976201496411931
UIScreenshots,quantity_plus_arrangement,center_grid_2_1,0.09048654244306417,0.08044924647733862,-0.13168703851254657,0.13168703851254657
UIScreenshots,quantity_plus_arrangement,center_grid_2_2,0.018636363636363628,0.03688451011240536,0.43210659480445013,0.43210659480445013
UIScreenshots,quantity_plus_arrangement,center_grid_2_3,0.02361471861471861,0.07187313076255548,1.0209054126266737,1.0209054126266737
UIScreenshots,quantity_plus_arrangement,center_grid_3_0,0.03073310747223789,0.08796906008345891,1.1181031537882118,1.1181031537882118
UIScreenshots,quantity_plus_arrangement,center_grid_3_1,0.03629023150762279,0.08696105650312652,0.8384163797286766,0.8384163797286766
UIScreenshots,quantity_plus_arrangement,center_grid_3_2,0.043398268398268394,0.04631108552630485,0.042515892999099796,0.042515892999099796
UIScreenshots,quantity_plus_arrangement,center_grid_3_3,0.02737812911725953,0.05127150465651113,0.7404837315894247,0.7404837315894247
