scope,feature_group,fold,balanced_accuracy,images,features
CommercialPosters,arrangement_8x8_only,4,0.5,18,80
CommercialPosters,arrangement_8x8_only,5,0.5,18,80
CommercialPosters,arrangement_8x8_only,mean,0.4,18,80
CommercialPosters,quantity_plus_arrangement,1,0.5,18,106
CommercialPosters,quantity_plus_arrangement,2,0.0,18,106
CommercialPosters,quantity_plus_arrangement,3,0.5,18,106
CommercialPosters,quantity_plus_arrangement,4,0.25,18,106
CommercialPosters,quantity_plus_arrangement,5,0.5,18,106
CommercialPosters,quantity_plus_arrangement,mean,0.35,18,106
InfographicCharts,quantity_only,1,0.5833333333333333,54,10
InfographicCharts,quantity_only,2,0.8333333333333333,54,10
InfographicCharts,quantity_only,3,0.8,54,10
InfographicCharts,quantity_only,4,0.9,54,10
InfographicCharts,quantity_only,5,1.0,54,10
InfographicCharts,quantity_only,mean,0.8233333333333335,54,10
InfographicCharts,arrangement_only,1,0.6666666666666667,54,96
InfographicCharts,arrangement_only,2,0.75,54,96
InfographicCharts,arrangement_only,3,0.6,54,96
InfographicCharts,arrangement_only,4,0.6,54,96
InfographicCharts,arrangement_only,5,0.9,54,96
InfographicCharts,arrangement_only,mean,0.7033333333333334,54,96
InfographicCharts,arrangement_base_only,1,0.75,54,16
InfographicCharts,arrangement_base_only,2,0.9166666666666667,54,16
InfographicCharts,arrangement_base_only,3,0.4,54,16
InfographicCharts,arrangement_base_only,4,0.6000000000000001,54,16
InfographicCharts,arrangement_base_only,5,0.7,54,16
InfographicCharts,arrangement_base_only,mean,0.6733333333333335,54,16
InfographicCharts,arrangement_4x4_only,1,0.5833333333333334,54,32
InfographicCharts,arrangement_4x4_only,2,0.75,54,32
InfographicCharts,arrangement_4x4_only,3,0.6,54,32
InfographicCharts,arrangement_4x4_only,4,0.6,54,32
InfographicCharts,arrangement_4x4_only,5,0.9,54,32
InfographicCharts,arrangement_4x4_only,mean,0.6866666666666668,54,32
InfographicCharts,arrangement_8x8_only,1,0.6666666666666667,54,80
InfographicCharts,arrangement_8x8_only,2,0.8333333333333333,54,80
InfographicCharts,arrangement_8x8_only,3,0.6,54,80
InfographicCharts,arrangement_8x8_only,4,0.6,54,80
InfographicCharts,arrangement_8x8_only,5,1.0,54,80
InfographicCharts,arrangement_8x8_only,mean,0.74,54,80
InfographicCharts,quantity_plus_arrangement,1,0.6666666666666667,54,106
InfographicCharts,quantity_plus_arrangement,2,0.8333333333333333,54,106
InfographicCharts,quantity_plus_arrangement,3,0.6,54,106
InfographicCharts,quantity_plus_arrangement,4,0.6,54,106
InfographicCharts,quantity_plus_arrangement,5,0.9,54,106
InfographicCharts,quantity_plus_arrangement,mean,0.72,54,106
