pilot_id,relative_path,status,error,image_width,image_height,num_regions,runtime_seconds
DVP_052_0143021eaa7a,Data/UIScreenshots/0_real/8555.jpg,ok,,1080,1920,14,0.18506100000013248
DVP_053_0147eb1ff5d1,Data/InfographicCharts/1_fake/infographic_chart_0596.png,ok,,1402,1122,42,0.266352900000129
DVP_054_0155a51ce8a6,Data/UIScreenshots/1_fake/ui_0683.png,ok,,941,1672,20,0.1851514000009047
DVP_055_015b3d437c3f,Data/Tables/0_real/PMC4663529_table_3.jpg,ok,,600,337,114,0.18956539999999222
DVP_056_016cbad5c739,Data/AcademicPosters/0_real/NeurIPS_2022_55073_Biologically Inspired Dynamic Thresholds for Spiking Neural .png,ok,,4320,2880,63,0.22679690000040864
DVP_057_01794c2b6b86,Data/UIScreenshots/1_fake/ui_0553.png,ok,,941,1672,35,0.1927073000006203
DVP_058_017aab6a650f,Data/Tables/0_real/PMC4700601_table_0.jpg,ok,,370,256,52,0.14392310000039288
DVP_059_017d3d27150e,Data/Tables/0_real/PMC6163741_table_1.jpg,ok,,573,258,53,0.16026380000039353
DVP_060_017dd1a3bd75,Data/UIScreenshots/0_real/37309.jpg,ok,,540,960,30,0.18915990000095917
DVP_061_01820d9ac11f,Data/InfographicCharts/0_real/00008926.jpeg,ok,,1200,1200,20,0.6747841999986122
DVP_062_019b773ed49c,Data/AcademicPosters/0_real/ICML_2024_32933_Don_t trust your eyes_ on the _un_reliability of feature vis.png,ok,,4080,2448,145,0.24609140000029583
DVP_063_019c92e3ffab,Data/CommercialPosters/0_real/5b3f4a3d1eb1c99e2a3b84c2_preview.jpg,ok,,1024,576,8,0.19155729999874893
DVP_064_01a3c38c16b2,Data/Receipts/1_fake/receipt_0367.png,ok,,1023,1537,53,0.2093738999992638
DVP_065_01abd78c859f,Data/UIScreenshots/1_fake/ui_0377.png,ok,,941,1672,41,0.1907446000004711
DVP_066_01ad978401b4,Data/UIScreenshots/0_real/71879.jpg,ok,,540,960,12,0.18319220000012137
DVP_067_01b2837fcc3a,Data/CommercialPosters/1_fake/commercial_poster_0369.png,ok,,1086,1448,28,0.23853919999965
DVP_068_01b7dd76924d,Data/Tables/0_real/PMC5859550_table_3.jpg,ok,,685,337,43,0.18141339999965567
DVP_069_01bcfb59c00e,Data/Receipts/1_fake/receipt_0550.png,ok,,1023,1537,44,0.2096718000011606
DVP_070_01c3147af964,Data/CommercialPosters/1_fake/commercial_poster_0730.png,ok,,1086,1448,30,0.2336926999996649
DVP_071_01c448a8c43e,Data/Tables/1_fake/table_0065.png,ok,,1402,1122,46,0.25519139999960316
DVP_072_01d0a9a5868e,Data/InfographicCharts/0_real/00057060.jpg,ok,,1199,1012,44,0.28277560000060475
DVP_073_01d2c3267b57,Data/CommercialPosters/0_real/5cd68d107d4459dfe1349845_preview.jpg,ok,,1024,1024,4,0.3114300999986881
