scope,feature_group,fold,balanced_accuracy,images,features
pooled,quantity_only,1,0.7037037037037037,268,10
pooled,quantity_only,2,0.7592592592592593,268,10
pooled,quantity_only,3,0.7407407407407407,268,10
pooled,quantity_only,4,0.7592592592592593,268,10
pooled,quantity_only,5,0.8846153846153846,268,10
pooled,quantity_only,mean,0.7695156695156695,268,10
pooled,arrangement_only,1,0.5185185185185185,268,32
pooled,arrangement_only,2,0.5555555555555556,268,32
pooled,arrangement_only,3,0.6481481481481481,268,32
pooled,arrangement_only,4,0.5,268,32
pooled,arrangement_only,5,0.6346153846153846,268,32
pooled,arrangement_only,mean,0.5713675213675213,268,32
pooled,quantity_plus_arrangement,1,0.7037037037037037,268,42
pooled,quantity_plus_arrangement,2,0.7037037037037037,268,42
pooled,quantity_plus_arrangement,3,0.7592592592592593,268,42
pooled,quantity_plus_arrangement,4,0.6851851851851851,268,42
pooled,quantity_plus_arrangement,5,0.8461538461538463,268,42
pooled,quantity_plus_arrangement,mean,0.7396011396011397,268,42
AcademicPosters,quantity_only,1,1.0,50,10
AcademicPosters,quantity_only,2,0.9,50,10
AcademicPosters,quantity_only,3,0.9,50,10
AcademicPosters,quantity_only,4,1.0,50,10
AcademicPosters,quantity_only,5,0.9,50,10
AcademicPosters,quantity_only,mean,0.9400000000000001,50,10
AcademicPosters,arrangement_only,1,0.30000000000000004,50,32
AcademicPosters,arrangement_only,2,0.6,50,32
AcademicPosters,arrangement_only,3,0.9,50,32
AcademicPosters,arrangement_only,4,0.8,50,32
AcademicPosters,arrangement_only,5,0.6,50,32
AcademicPosters,arrangement_only,mean,0.64,50,32
AcademicPosters,quantity_plus_arrangement,1,1.0,50,42
AcademicPosters,quantity_plus_arrangement,2,0.8,50,42
AcademicPosters,quantity_plus_arrangement,3,0.9,50,42
AcademicPosters,quantity_plus_arrangement,4,1.0,50,42
AcademicPosters,quantity_plus_arrangement,5,0.9,50,42
AcademicPosters,quantity_plus_arrangement,mean,0.9200000000000002,50,42
CommercialPosters,quantity_only,1,0.75,18,10
CommercialPosters,quantity_only,2,0.5,18,10
