index,category,pairs,mean_abs_count_difference,median_abs_count_difference,max_abs_count_difference
0,AcademicPosters,25,1.76,1.0,9
1,CommercialPosters,9,2.4444444444444446,0.0,9
2,InfographicCharts,27,1.1851851851851851,1.0,6
3,Receipts,32,1.40625,1.0,7
4,Tables,26,2.1153846153846154,1.0,10
5,UIScreenshots,15,1.7333333333333334,1.0,9
