held_out_category,feature_group,balanced_accuracy,train_images,test_images,features
AcademicPosters,quantity_only,0.7307692307692308,280,52,10
AcademicPosters,arrangement_only,0.5,280,52,32
AcademicPosters,quantity_plus_arrangement,0.5384615384615384,280,52,42
CommercialPosters,quantity_only,0.5,292,40,10
CommercialPosters,arrangement_only,0.5,292,40,32
CommercialPosters,quantity_plus_arrangement,0.575,292,40,42
InfographicCharts,quantity_only,0.6724137931034483,274,58,10
InfographicCharts,arrangement_only,0.6206896551724137,274,58,32
InfographicCharts,quantity_plus_arrangement,0.7241379310344827,274,58,42
Receipts,quantity_only,0.7972972972972974,258,74,10
Receipts,arrangement_only,0.43243243243243246,258,74,32
Receipts,quantity_plus_arrangement,0.8243243243243243,258,74,42
Tables,quantity_only,0.7258064516129032,270,62,10
Tables,arrangement_only,0.3548387096774194,270,62,32
Tables,quantity_plus_arrangement,0.564516129032258,270,62,42
UIScreenshots,quantity_only,0.5869565217391304,286,46,10
UIScreenshots,arrangement_only,0.5217391304347826,286,46,32
UIScreenshots,quantity_plus_arrangement,0.6086956521739131,286,46,42
